kv	き
kj	く
kl	こ
zv	ざ
dv	で
nf	ぬ
^a	な
^i	に
^u	ぬ
^e	ね
^o	の
hv	ふ
mv	む
mk	み
ml	も
yv	ゆ
nv	ん

@a	ぁ
@i	ぃ
@u	ぅ
@e	ぇ
@o	ぉ
@ka	ヵ
@ke	ヶ
@tu	っ
@ya	ゃ
@yu	ゅ
@yo	ょ
@wa	ゎ
@n	にゅ

;a	ぱ
;i	ぴ
;u	ぷ
;e	ぺ
;o	ぽ
;ya	ぴゃ
;yu	ぴゅ
;yo	ぴょ

qa	きゃ
qu	きゅ
qo	きょ

xa	しゃ
xu	しゅ
xo	しょ

ca	ちゃ
cu	ちゅ
co	ちょ

^ya	にゃ
^yu	にゅ
^yo	にょ

:a	ひゃ
:u	ひゅ
:o	ひょ

la	りゃ
lu	りゅ
lo	りょ

cs	くす
sc	すく
st	すと

k;	っく
t;	っと
g;	っぐ
d;	っど
p;	っぷ

rk	ーく
rt	ーと
rp	ーぷ

k.	く。
s.	す。
t.	た。
m.	む。
r.	る。
n.	ん。
g.	ぐ。
z.	ず。
d.	だ。
b.	ぶ。

k,	く、
s,	し、
t,	て、
n,	に、
h,	は、
b,	ば、
g,	が、
j,	じ、
z,	ず、
d,	で、
r,	ら、

vf	あい
vl	えい
kf	かい
sf	さい
sl	せい
tf	たい
tl	てい
^f	ない
hf	はい
hl	へい
mf	まい
rf	らい
gf	がい
gl	げい
zf	ざい
jl	ぜい
df	だい
bl	べい
xf	しゃい
jf	じゃい

vw	おう
kw	こう
sw	そう
tw	とう
^w	のう
mw	もう
yw	よう
gw	ごう
zw	ぞう
dw	どう
hw	ほう
bw	ぼう
rw	ろう
qw	きゅう
qv	きょう
cw	ちゅう
cv	ちょう
xw	しゅう
xv	しょう
;w	にゅう
;v	にょう
:w	ひゅう
:v	ひょう
bv	びょう
lw	りゅう
lv	りょう
gv	ぎょう
jw	じゅう
jv	じょう

vn	あん
vg	いん
vm	うん
vd	えん
vb	おん
kn	かん
kg	きん
km	くん
kd	けん
kb	こん
sn	さん
sg	しん
sm	すん
sd	せん
sb	そん
tn	たん
tg	ちん
tm	つん
td	てん
tb	とん
^n	なん
^g	にん
^m	ぬん
^d	ねん
^b	のん
hn	はん
hg	ひん
hm	ふん
hd	へん
hb	ほん
mn	まん
mg	みん
md	めん
mb	もん
rn	らん
rg	りん
rd	れん
rb	ろん
gn	がん
gm	ぐん
gd	げん
gb	ごん
zn	ざん
zg	じん
zm	ずん
zd	ぜん
zb	ぞん
dn	だん
;n	ぱん
;g	ぴん
bn	ばん
bm	ぶん
bd	べん
qn	きゃん
xm	しゅん
xb	しょん
cn	ちゃん
cm	ちゅん
jn	じゃん
jm	じゅん
jb	じょん
