kq	かい
gq	がい
kr	から
gr	がら
kn	かん
kz	かん
gn	がん
gz	がん
kf	き
cu	く
kgz	きゃん
kyn	きゃん
kyz	きゃん
kgu	きゅ
kgh	きゅう
kv	きゅう
kyh	きゅう
gv	ぎゅう
gyh	ぎゅう
kgo	きょ
kgp	きょう
kx	きょう
kyp	きょう
gx	ぎょう
gyp	ぎょう
kk	きん
gk	ぎん
kh	くう
gh	ぐう
kj	くん
gj	ぐん
kw	けい
gw	げい
kd	けん
gd	げん
kp	こう
gp	ごう
kt	こと
gt	ごと
kl	こん
gl	ごん
sf	さい
sq	さい
zq	ざい
zv	ざい
zr	ざる
sn	さん
sz	さん
zn	ざん
zz	ざん
st	した
xq	しゃい
xv	しゃい
sv	しゅう
syh	しゅう
xh	しゅう
jh	じゅう
zyh	じゅう
syj	しゅん
xj	しゅん
jj	じゅん
zyj	じゅん
sx	しょう
syp	しょう
xp	しょう
jp	じょう
zyp	じょう
sr	する
ss	せい
sw	せい
zw	ぜい
zx	ぜい
sd	せん
zd	ぜん
sp	そう
zp	ぞう
sl	そん
zl	ぞん
tq	たい
dq	だい
dg	だが
dt	だち
tb	たび
tm	ため
tr	たら
tn	たん
tz	たん
dn	だん
dz	だん
ch	ちゅう
tyh	ちゅう
dv	ぢゅう
cp	ちょう
typ	ちょう
th	つう
ds	です
dm	でも
td	てん
tp	とう
dp	どう
nq	ない
nr	なる
nz	なん
ngh	にゅう
nv	にゅう
nyh	にゅう
nk	にん
nf	ぬ
hq	はい
bq	ばい
pq	ぱい
hr	はら
hn	はん
hz	はん
bn	ばん
bz	ばん
pn	ぱん
pz	ぱん
ht	ひと
bt	びと
hf	ふ
fh	ふう
hh	ふう
bh	ぶう
ph	ぷう
fj	ふん
hj	ふん
bj	ぶん
pj	ぷん
hw	へい
bw	べい
pw	ぺい
hd	へん
bd	べん
pd	ぺん
hp	ほう
bp	ぼう
pp	ぽう
hl	ほん
mq	まい
ms	ます
mt	また
mr	まる
mz	まん
mk	みん
mf	む
mw	めい
md	めん
